Dates,Mccormick County Sc,Greenwood County Sc,Laurens County Sc,Edgefield County Sc,Spartanburg County Sc,Oconee County Sc,Aiken County Sc,Cherokee County Sc,Saluda County Sc,Greenville County Sc,Anderson County Sc,Union County Sc,Pickens County Sc,Abbeville County Sc,Allendale County Sc,Newberry County Sc,Fairfield County Sc,Hampton County Sc,Barnwell County Sc,Lexington County Sc,Bamberg County Sc,Richland County Sc,Colleton County Sc,Jasper County Sc,Orangeburg County Sc,Calhoun County Sc,Kershaw County Sc,Chester County Sc,Dorchester County Sc,York County Sc,Beaufort County Sc,Berkeley County Sc,Charleston County Sc,Clarendon County Sc,Darlington County Sc,Florence County Sc,Horry County Sc,Lancaster County Sc,Marlboro County Sc,Sumter County Sc,Williamsburg County Sc
2024-09-17 12:00,0.0,1.0,1.0,0.0,18.0,6.0,2.0,0.0,0.0,158.0,9.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1229.0,36,45,54,0.0,0,3,8,1,4,50,38
2024-09-17 13:00,0.0,1.0,6.0,0.0,7.0,4.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,3.0,46,19,16,4.0,0,35,2668,2,0,5,32
2024-09-17 14:00,2.0,0.0,1.0,0.0,7.0,2.0,3.0,0.0,2.0,76.0,464.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,11.0,1.0,3.0,1.0,0.0,49.0,1.0,1.0,6.0,53,19,6,2.0,0,4,1045,1,0,3,32
2024-09-17 15:00,2.0,0.0,1.0,0.0,31.0,1.0,1236.0,1.0,2.0,36.0,7.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,0.0,3.0,2.0,0.0,11.0,1.0,0.0,78.0,8,2,26,2.0,0,4,681,14,0,18,29
2024-09-17 16:00,0.0,0.0,0.0,0.0,38.0,3.0,2.0,2.0,0.0,61.0,112.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,8,1,4,1.0,1,0,30,14,0,15,2
2024-09-17 17:00,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,59.0,117.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,8,2,1,10.0,1,1,6,5,0,3,2
2024-09-17 18:00,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,110.0,112.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,2.0,8,35,2,13.0,1,2,9,2,0,3,0
2024-09-17 19:00,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,109.0,119.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,2.0,8,33,1,12.0,1,1,5,1,0,3,0
2024-09-17 20:00,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,119.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,8,0,1,14.0,2,3,2,0,0,0,0
2024-09-17 21:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,38.0,114.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,8,0,0,10.0,2,1,2,0,0,0,4
